step,Base,ImmuneWU,StrongU,ImmuneWL,ImmuneSL
0,101,101,101,101,101
1,101,101,102,101,101
2,101,101,104,104,101
3,101,101,36,24,101
4,101,101,52,38,101
5,102,101,82,83,101
6,103,102,168,95,101
7,104,103,228,107,101
8,105,105,317,179,101
9,106,24,438,250,101
10,107,32,596,328,101
11,109,38,751,449,102
12,24,49,962,557,103
13,34,96,1151,668,104
14,40,136,1397,809,105
15,84,184,1582,981,106
16,129,250,1745,1099,108
17,164,335,2071,1276,24
18,194,416,2307,1492,35
19,267,524,2560,1668,50
20,401,649,2761,1878,125
21,531,704,2704,1961,119
22,701,814,2600,2026,148
23,825,915,2323,1955,159
24,1003,1017,2217,1963,170
25,1135,1113,1978,1878,189
26,1333,1239,1758,1831,243
27,1595,1294,1672,1911,234
28,1789,1364,1635,1983,217
29,2032,1465,1619,2027,243
30,2290,1507,1512,2095,262
31,2556,1554,1457,2107,265
32,2778,1617,1445,2150,262
33,2972,1665,1484,2187,288
34,3151,1773,1438,2148,341
35,3490,1913,1379,2192,374
36,3691,2052,1504,2158,390
37,3971,2038,1531,2168,392
38,4055,2203,1501,2274,453
39,4197,2255,1673,2302,507
40,4501,2270,1852,2307,528
41,4640,2379,1924,2392,566
42,4756,2403,2023,2517,629
43,5051,2581,2034,2675,689
44,5309,2711,2139,2904,688
45,5362,2855,2194,2879,637
46,5656,3003,2208,3065,623
47,5919,2912,2177,3187,681
48,6298,2990,2230,3115,766
49,6643,3141,2545,3143,837
50,6691,3280,2701,3284,920
51,7063,3390,2685,3392,968
52,7045,3394,2695,3514,1008
53,7340,3567,2859,3702,1053
54,7541,3649,2972,3828,1021
55,7860,3739,3083,4029,1078
56,8101,3764,3278,4140,1116
57,8343,3896,3237,4348,1182
58,8711,4002,3267,4441,1139
59,8897,4056,3149,4619,1123
60,9022,4043,3164,4679,1137
61,9252,4072,3288,4851,1242
62,9521,4029,3359,4948,1243
63,9914,4108,3348,4861,1257
64,10299,4069,3287,4942,1301
65,10754,4163,3309,4915,1433
66,11168,4427,3430,4823,1473
67,11364,4779,3375,4981,1585
68,11848,4764,3561,5065,1685
69,12057,4808,3548,5224,1680
70,12043,4903,3626,5406,1680
71,11684,4861,3647,5570,1773
72,12036,4895,3722,5670,1798
73,12242,4905,3711,5814,1840
74,12156,5006,3843,5927,1950
75,12653,5049,3808,5965,1830
76,13240,5124,3792,6005,1910
77,13581,5343,3931,6096,1998
78,14052,5265,4039,6216,1930
79,14575,5541,3987,6403,1916
80,14916,5877,4037,6639,2053
81,15146,6003,4068,6671,2096
82,15151,6162,4190,6839,2103
83,15825,6366,4100,6774,2276
84,16166,6443,4137,6747,2362
85,16241,6562,4203,6833,2393
86,16735,6681,4201,6823,2456
87,17159,6650,4269,7028,2411
88,17224,6844,4275,7034,2445
89,17654,6912,4166,6831,2320
90,18070,7318,4244,7022,2334
91,18658,7517,4326,7115,2352
92,18900,7695,4293,7131,2276
93,19431,7763,4471,7110,2346
94,19750,7954,4517,7156,2446
95,20008,8004,4534,7268,2505
96,20237,7989,4642,7364,2550
97,20269,8129,4437,7534,2656
98,20699,8349,4604,7903,2553
99,20987,8657,4661,8030,2602
100,21632,8714,4810,8355,2846
101,22132,9044,4919,8494,2934
102,22502,9000,4978,8514,3030
103,22924,8882,5137,8435,3025
104,23363,8999,5438,8769,3082
105,23513,9009,5488,8859,3064
106,22857,9214,5621,9343,3147
107,23229,9484,5652,9594,3192
108,23723,9437,5737,10163,3251
109,23540,9372,5779,10404,3361
110,24229,9508,5917,10594,3388
111,24526,9264,6016,10811,3464
112,25239,9302,6011,10980,3464
113,25577,9325,5981,11117,3411
114,25435,9296,5907,11385,3540
115,25536,9743,5985,11728,3627
116,26189,9677,6039,11986,3677
117,26206,9772,6219,12016,3863
118,26630,10003,6148,12275,4091
119,26555,10026,6325,12571,4371
120,26938,10030,6268,12813,4594
121,27207,10095,6342,12887,4784
122,27450,10471,6497,12776,5130
123,27663,10437,6661,12785,5497
124,27860,10647,6809,13092,5759
125,28113,10922,6984,13489,6012
126,28729,10954,7110,13356,6375
127,29410,11103,7201,13615,6769
128,29699,11060,6950,14019,7003
129,29858,11288,7112,14325,7213
130,30408,11421,7106,14245,7696
131,30500,11528,6745,14566,7967
132,30850,11852,6716,14880,8577
133,30941,11641,6757,15450,8865
134,30694,11281,7008,15775,9224
135,31506,11389,7165,16341,9584
136,31857,11346,7528,16722,9992
137,31910,11350,7422,17013,10426
138,32109,11648,7582,17376,10916
139,32011,11692,7497,17487,11130
140,32145,11855,7568,17895,11321
141,32374,12117,7690,18253,11632
142,32239,12179,7753,18543,11660
143,32574,12478,7657,18869,11449
144,32885,12548,7848,18944,11526
145,33866,12643,7932,19278,11827
146,34487,12493,7974,19680,12034
147,34667,12820,7949,19991,12158
148,35066,12935,7775,20192,12403
149,35343,13286,7552,20378,12541
150,35563,13593,7649,20636,12877
151,35826,14067,7630,20731,13156
152,36006,13860,7595,20612,13213
153,36277,13704,7751,21130,13592
154,37047,13843,7908,21264,13870
155,37113,13919,7735,21557,14070
156,37771,13832,7678,21792,13950
157,37603,13895,7860,21841,14270
158,38401,14415,7987,22774,14489
159,38301,14558,8190,22902,14799
160,38235,14601,8263,23233,14851
161,38562,14472,8424,23515,15328
162,38500,14528,8204,23931,15612
163,39097,14595,8331,24253,15559
164,39373,14648,8540,24455,15894
165,39938,14643,8583,24794,16414
166,40792,14408,8710,25383,16537
167,41296,14763,8494,25612,16818
168,41236,14847,8618,25986,17119
169,41448,14783,8706,26176,17301
170,41672,14631,8725,26504,17414
171,42251,14620,8783,26744,17507
172,42849,14953,9155,27467,18063
173,43488,14860,9513,27443,18438
174,43448,14595,9461,28069,19023
175,43885,14673,9234,28587,19386
