step,VirusA_same,VirusB_same,,VirusA_30,VirusB_30,,VirusA_60,VirusB_60,,VirusA_60,VirusB_60
0,100,100,,100,0,,100,0,,100,0
1,101,101,,101,0,,101,0,,101,0
2,101,101,,101,0,,101,0,,101,0
3,102,101,,101,0,,101,0,,101,0
4,104,101,,101,0,,101,0,,101,0
5,24,101,,101,0,,101,0,,101,0
6,30,102,,101,0,,101,0,,101,0
7,36,104,,102,0,,102,0,,102,0
8,46,24,,104,0,,104,0,,104,0
9,67,26,,16,0,,24,0,,24,0
10,96,30,,17,0,,30,0,,27,0
11,117,37,,17,0,,35,0,,29,0
12,132,60,,18,0,,43,0,,32,0
13,151,76,,18,0,,63,0,,36,0
14,201,90,,20,0,,70,0,,40,0
15,249,129,,22,0,,78,0,,48,0
16,309,177,,23,0,,86,0,,55,0
17,378,216,,26,0,,99,0,,62,0
18,416,241,,33,0,,128,0,,68,0
19,471,315,,57,0,,161,0,,87,0
20,543,408,,74,0,,190,0,,98,0
21,620,495,,80,0,,209,0,,110,0
22,678,558,,91,0,,239,0,,133,0
23,757,621,,117,0,,281,0,,185,0
24,828,722,,130,0,,336,0,,206,0
25,873,788,,150,0,,380,0,,242,0
26,938,905,,179,0,,440,0,,272,0
27,997,994,,200,0,,504,0,,329,0
28,1088,1076,,217,0,,560,0,,387,0
29,1176,1199,,246,0,,625,0,,475,0
30,1250,1310,,280,100,,682,0,,546,0
31,1294,1229,,337,100,,746,0,,622,0
32,1425,1340,,380,101,,834,0,,707,0
33,1520,1401,,459,101,,931,0,,815,0
34,1526,1448,,517,101,,1023,0,,886,0
35,1688,1552,,566,101,,1048,0,,977,0
36,1723,1709,,643,101,,1103,0,,1095,0
37,1804,1908,,684,101,,1170,0,,1209,0
38,1798,2093,,731,102,,1191,0,,1315,0
39,1897,2224,,779,104,,1301,0,,1407,0
40,2038,2379,,850,16,,1368,0,,1428,0
41,2115,2429,,856,20,,1472,0,,1554,0
42,2143,2412,,892,28,,1514,0,,1593,0
43,2245,2574,,941,33,,1533,0,,1635,0
44,2320,2659,,1029,40,,1539,0,,1758,0
45,2287,2779,,1075,65,,1626,0,,1854,0
46,2328,2844,,1133,110,,1683,0,,1995,0
47,2389,2855,,1208,141,,1740,0,,2054,0
48,2424,2914,,1281,183,,1843,0,,2115,0
49,2342,2806,,1345,279,,1883,0,,2195,0
50,2410,2838,,1405,387,,1963,0,,2346,0
51,2567,2815,,1480,462,,2054,0,,2511,0
52,2667,2893,,1580,564,,2123,0,,2532,0
53,2711,2916,,1646,622,,2201,0,,2777,0
54,2779,2931,,1728,772,,2350,0,,2929,0
55,2959,2828,,1792,902,,2349,0,,2936,0
56,3022,2928,,1763,983,,2462,0,,3080,0
57,2984,3124,,1867,1057,,2579,0,,3137,0
58,3120,3178,,1926,1198,,2677,0,,3211,0
59,3220,3288,,2037,1340,,2774,0,,3277,0
60,3363,3463,,2105,1495,,2895,100,,3217,0
61,3425,3391,,2227,1575,,3040,100,,3296,0
62,3587,3397,,2307,1675,,3164,101,,3369,0
63,3537,3499,,2400,1784,,3219,101,,3421,0
64,3550,3557,,2473,1982,,3287,101,,3479,0
65,3554,3511,,2539,2083,,3347,101,,3540,0
66,3654,3667,,2606,2350,,3347,101,,3635,0
67,3670,3827,,2708,2558,,3417,101,,3731,0
68,3679,3968,,2753,2635,,3520,102,,4038,0
69,3765,3992,,2656,2771,,3577,104,,4104,0
70,3833,4204,,2813,2881,,3704,16,,4133,0
71,3911,4157,,2993,2954,,3818,24,,4226,0
72,3827,4288,,3064,3021,,4065,32,,4237,0
73,3971,4332,,3180,3231,,4066,41,,4342,0
74,3926,4381,,3262,3484,,4155,68,,4472,0
75,4007,4568,,3447,3679,,4242,105,,4658,0
76,4007,4700,,3586,3933,,4344,155,,4757,0
77,4128,4824,,3782,4122,,4459,189,,4719,0
78,4196,4829,,3983,4203,,4549,265,,4773,0
79,4230,4821,,4097,4287,,4569,346,,4780,0
80,4376,4902,,4173,4379,,4543,440,,5036,0
81,4490,5033,,4234,4437,,4574,574,,5112,0
82,4633,5082,,4386,4748,,4910,731,,5247,0
83,4740,5126,,4389,5035,,5017,858,,5348,0
84,4861,5248,,4423,5115,,5016,1023,,5598,0
85,5088,5312,,4445,5268,,5078,1170,,5473,0
86,5072,5322,,4478,5447,,5192,1355,,5469,0
87,5123,5285,,4442,5600,,5202,1435,,5419,0
88,5257,5318,,4530,5662,,5301,1627,,5524,0
89,5243,5442,,4566,5851,,5256,1693,,5603,0
90,5416,5459,,4469,5880,,5374,1770,,5657,100
91,5501,5626,,4533,5826,,5528,1842,,5878,100
92,5466,5445,,4555,6028,,5478,2024,,6044,101
93,5348,5450,,4618,5929,,5591,2202,,6155,101
94,5492,5543,,4540,6096,,5463,2318,,6238,101
95,5464,5647,,4644,6109,,5574,2527,,6347,101
96,5447,5794,,4389,6222,,5643,2548,,6528,101
97,5567,5577,,4330,6321,,5567,2788,,6666,101
98,5697,5641,,4137,6402,,5731,2933,,6744,102
99,5867,5627,,4172,6513,,5718,3004,,6863,104
100,5828,5636,,4144,6529,,5845,3153,,7074,24
101,6044,5687,,4199,6690,,5854,3312,,7275,30
102,5964,5976,,4130,6890,,5868,3615,,7321,43
103,6125,5912,,3978,7157,,5898,3712,,7420,67
104,6327,6019,,3913,7217,,5896,3838,,7459,132
105,6435,5901,,4001,7355,,6019,3863,,7493,212
106,6531,5930,,4089,7531,,6119,3917,,7418,286
107,6637,5892,,4152,7801,,6117,3950,,7389,364
108,6664,6025,,4129,7964,,6111,4127,,7439,464
109,6726,6040,,4181,8282,,6062,4122,,7616,548
110,6717,6164,,4211,8382,,6036,4203,,7681,634
111,6705,6336,,4102,8424,,6105,4189,,7706,714
112,6758,6514,,3977,8791,,6035,4392,,7559,786
113,6921,6568,,3849,8703,,6047,4430,,7542,907
114,6957,6765,,3977,8749,,6105,4373,,7768,1020
115,6950,6925,,3929,8745,,5893,4355,,7851,1064
116,6884,7056,,3895,8935,,5890,4552,,7928,1152
117,6865,7136,,4058,9113,,5839,4643,,7905,1270
118,6980,7281,,4122,9194,,5672,4760,,7896,1333
119,7042,7147,,4213,9060,,5764,4906,,7862,1361
120,6995,7212,,4249,9265,,5745,5003,,7973,1451
121,6808,7186,,4203,9586,,5679,5191,,7920,1546
122,6943,7113,,4180,9752,,5603,5269,,7887,1650
123,7040,7060,,4203,9972,,5545,5482,,7975,1716
124,7185,7213,,3945,10094,,5416,5707,,7894,1752
125,7252,7193,,3902,10168,,5477,5794,,7965,1716
126,7432,7351,,3916,10294,,5511,5876,,8086,1791
127,7582,7530,,3863,10502,,5404,6050,,7921,1922
128,7837,7649,,3814,10603,,5408,6002,,7972,1896
