step,Base,Attachment3,Penet3,EclipseShape0.5,Shedding3
0,101,101,101,101,101
1,101,101,101,101,101
2,101,101,101,101,101
3,101,102,101,101,103
4,101,104,103,101,24
5,102,24,36,101,37
6,103,33,51,101,93
7,104,39,89,101,129
8,105,81,153,101,262
9,106,156,219,101,391
10,107,220,279,101,480
11,109,343,393,101,663
12,24,457,563,101,901
13,34,576,732,101,1167
14,40,688,903,101,1433
15,84,815,1098,101,1747
16,129,1062,1283,101,2024
17,164,1186,1444,101,2315
18,194,1296,1654,102,2655
19,267,1528,1831,103,2944
20,401,1743,2093,104,3373
21,531,1850,2416,105,3763
22,701,2149,2614,107,3902
23,825,2374,2833,36,3993
24,1003,2538,3243,59,4319
25,1135,2749,3317,106,4483
26,1333,2919,3596,172,4737
27,1595,3112,3772,284,5186
28,1789,3372,4015,387,5393
29,2032,3584,4361,525,5659
30,2290,3784,4642,701,6026
31,2556,4079,4872,832,6456
32,2778,4481,5036,1054,6693
33,2972,4708,5167,1238,6986
34,3151,4936,5447,1455,6973
35,3490,5173,5755,1744,7220
36,3691,5243,5969,2023,7692
37,3971,5462,6213,2313,8086
38,4055,5935,6570,2632,8298
39,4197,6175,6654,2970,8670
40,4501,6593,6873,3328,9078
41,4640,6973,7025,3692,9518
42,4756,7305,7194,4280,9743
43,5051,7584,7416,4667,9875
44,5309,8141,7606,5166,10233
45,5362,8351,8091,5623,10703
46,5656,8696,8631,6104,11176
47,5919,9162,8788,6682,11569
48,6298,9344,9052,7046,11573
49,6643,9640,9442,7469,11833
50,6691,9872,9693,7967,12464
51,7063,10202,10093,8421,12838
52,7045,10088,10339,8666,13095
53,7340,10446,10607,9075,13450
54,7541,10794,10662,9466,13463
55,7860,11246,11108,10029,13708
56,8101,11421,11228,10551,13918
57,8343,11729,11675,11029,14215
58,8711,12079,12161,11204,14292
59,8897,12244,12634,11449,14637
60,9022,12609,12607,11919,14591
61,9252,12795,13095,12074,14772
62,9521,12902,13612,12552,15127
63,9914,13325,13727,13070,15556
64,10299,13442,13918,13760,15966
65,10754,13786,14349,14166,16541
66,11168,14063,14322,14683,16940
67,11364,14385,14526,15347,17592
68,11848,14828,14765,15653,17619
69,12057,15361,15064,16521,17664
70,12043,15657,15327,17022,17783
71,11684,15671,15861,17498,18006
72,12036,16081,15759,18233,18396
73,12242,16252,16086,18776,18695
74,12156,16509,16301,19448,18986
75,12653,16561,16395,20016,19372
76,13240,16990,16895,20538,19884
77,13581,17247,17422,21283,19758
78,14052,17989,17642,21898,20251
79,14575,18481,18265,22743,20723
80,14916,18694,18854,23541,20568
81,15146,18994,19074,24497,20983
82,15151,19498,19553,25346,21312
83,15825,19709,19776,25839,21615
84,16166,20095,20160,26484,22094
85,16241,20166,20379,26887,22152
86,16735,20586,20873,27318,22144
87,17159,20887,20847,28004,22953
88,17224,21112,21056,28365,23560
89,17654,21131,21527,28835,23973
90,18070,21307,21893,29421,24417
91,18658,21530,22439,30321,24199
92,18900,21895,22647,30660,24861
93,19431,22088,22891,31513,25030
94,19750,22403,23221,31856,25023
95,20008,22705,23239,31962,25582
96,20237,23175,23638,32179,26041
97,20269,23175,23725,32738,26323
98,20699,23579,24053,34038,26345
99,20987,23545,24098,34471,26492
100,21632,23987,24400,35448,26722
101,22132,24628,24365,36332,27149
