iteration,Lambda2,Lambda3,Lambda4,Lambda5
0,176,128,99,108
1,165,142,96,97
2,130,114,103,102
3,153,119,107,101
4,129,125,106,82
5,149,97,98,95
6,173,118,94,91
7,177,150,98,109
8,184,116,108,104
9,177,104,99,91
10,144,117,97,91
11,186,144,94,101
12,139,99,110,103
13,189,138,122,96
14,163,107,104,91
15,169,123,105,94
16,176,99,96,105
17,144,123,101,95
18,150,125,98,93
19,188,129,100,94
20,161,109,104,88
21,154,98,98,96
22,180,117,105,91
23,179,100,104,112
24,168,117,126,106
25,139,157,114,92
26,191,133,99,120
27,158,124,112,96
28,174,112,95,96
29,128,99,113,101
30,135,144,94,94
31,114,110,105,91
32,156,123,106,86
33,195,104,105,86
34,162,128,109,94
35,131,110,102,96
36,115,120,121,106
37,174,132,103,82
38,163,106,112,85
39,157,159,97,86
40,150,109,96,86
41,142,110,92,85
42,163,107,109,95
43,174,104,104,101
44,120,99,91,87
45,136,113,119,91
46,150,126,90,111
47,150,105,122,94
48,156,93,106,95
49,185,112,110,117
50,184,107,105,91
51,169,104,99,89
52,151,131,121,94
53,130,133,114,92
54,163,110,146,107
55,144,116,106,104
56,151,127,92,98
57,168,127,105,84
58,174,136,124,89
59,195,121,104,99
60,131,126,112,99
61,154,101,90,91
62,119,117,105,108
63,124,128,90,98
64,148,125,116,102
65,157,105,120,98
66,131,122,104,97
67,131,95,103,100
68,166,121,112,92
69,171,111,103,107
70,185,126,99,101
71,138,113,103,89
72,160,100,102,87
73,156,112,103,95
74,161,123,85,108
75,156,116,105,89
76,119,108,92,91
77,146,136,91,103
78,158,104,94,102
79,148,122,93,96
80,164,135,94,86
81,169,123,106,102
82,164,121,102,94
83,155,123,98,83
84,151,108,105,92
85,152,118,132,112
86,137,121,116,89
87,196,122,88,96
88,193,125,84,104
89,145,100,109,90
90,147,127,99,84
91,134,127,100,94
92,140,151,117,79
93,196,122,89,98
94,195,127,82,95
95,114,116,90,86
96,150,138,116,108
97,175,112,95,87
98,149,122,97,87
99,184,155,106,93
